cultivo,tipo_suelo,sistema_riego,area_ha,dias_ciclo,doy_inicio,capacidad_campo,punto_marchitez,prof_raiz_m,et0_promedio_mmdia,et0_maximo_mmdia,lluvia_total_mm,etc_total_mm,kc_promedio,humedad_suelo_promedio,deficit_hidrico_frac,n_riegos,volumen_agua_total_m3_ha,rendimiento_real_ton_ha
Frijol,franco-arcilloso,gravedad,9.61,110,156,0.36,0.2,0.56,7.993,10.281,79.95,728.74,0.838,0.309,0.0,12,10601.01,2.101
Frijol,franco-arcilloso,aspersion,52.67,110,361,0.36,0.2,0.52,5.178,8.283,18.44,494.49,0.838,0.3187,0.0,11,5749.72,1.833
Frijol,franco,gravedad,33.25,110,102,0.3,0.16,0.55,8.47,10.404,83.48,798.47,0.838,0.2511,0.0,14,11083.23,1.881
Frijol,arcilloso,gravedad,70.37,110,257,0.42,0.22,0.51,4.412,7.036,38.17,383.54,0.838,0.37,0.0,6,5600.47,1.994
Frijol,franco-arcilloso,gravedad,76.6,110,352,0.36,0.2,0.52,4.842,8.138,10.76,461.24,0.838,0.3176,0.0,10,6648.43,1.914
Frijol,franco-arcilloso,gravedad,57.71,110,116,0.36,0.2,0.58,8.665,10.131,85.26,810.05,0.838,0.3096,0.0,13,10876.84,2.035
Frijol,franco,gravedad,25.34,110,106,0.3,0.16,0.65,8.621,10.246,77.19,808.99,0.838,0.2572,0.0,14,11557.0,1.956
Frijol,franco-arcilloso,goteo,73.94,110,334,0.36,0.2,0.55,4.147,6.822,3.75,389.54,0.838,0.3131,0.0,7,3846.95,2.132
Frijol,arcilloso,gravedad,29.46,110,120,0.42,0.22,0.68,8.532,10.095,130.72,793.75,0.838,0.3719,0.0,10,10381.21,1.877
Frijol,franco-arcilloso,gravedad,14.69,110,208,0.36,0.2,0.48,6.255,9.363,104.2,550.31,0.838,0.3141,0.0,10,7009.43,2.26
Frijol,arcilloso,gravedad,25.95,110,311,0.42,0.22,0.69,3.993,6.241,12.87,365.49,0.838,0.3691,0.0,4,4683.13,1.833
Frijol,franco,gravedad,57.92,110,15,0.3,0.16,0.47,5.826,8.76,12.42,561.22,0.838,0.2542,0.0,14,8756.07,2.003
Frijol,franco-arcilloso,aspersion,43.54,110,133,0.36,0.2,0.56,8.547,10.708,103.5,785.73,0.838,0.3155,0.0,14,8563.77,1.787
Frijol,franco-arcilloso,aspersion,5.14,110,135,0.36,0.2,0.68,8.394,10.488,75.74,775.82,0.838,0.3127,0.0,11,8528.47,1.801
Frijol,arcilloso,gravedad,46.08,110,71,0.42,0.22,0.46,7.883,10.732,18.44,750.36,0.838,0.3614,0.0,14,11433.63,1.901
Frijol,franco-arcilloso,goteo,54.79,110,298,0.36,0.2,0.58,3.903,5.884,4.82,349.42,0.838,0.3151,0.0,6,3307.26,2.07
Frijol,franco,gravedad,71.63,110,176,0.3,0.16,0.59,7.497,10.17,160.93,677.41,0.838,0.2605,0.0,12,8647.21,1.604
Frijol,franco,aspersion,79.97,110,10,0.3,0.16,0.47,5.636,9.595,16.07,539.11,0.838,0.2602,0.0,15,6645.37,1.581
Frijol,arcilloso,gravedad,7.26,110,338,0.42,0.22,0.5,4.409,7.796,32.97,411.33,0.838,0.366,0.0,6,5527.07,2.012
Frijol,franco-arcilloso,aspersion,37.98,110,219,0.36,0.2,0.63,5.877,9.063,158.49,517.09,0.838,0.3259,0.0,8,5205.66,1.859
Frijol,franco-arenoso,gravedad,59.62,110,117,0.24,0.12,0.7,8.687,9.911,48.72,810.82,0.838,0.1985,0.0,15,12400.39,1.931
Frijol,arcilloso,gravedad,51.35,110,240,0.42,0.22,0.61,5.142,8.707,68.61,448.31,0.838,0.3665,0.0,5,5600.12,2.264
Frijol,franco,gravedad,56.28,110,261,0.3,0.16,0.5,4.303,7.366,51.62,375.53,0.838,0.2622,0.0,9,5662.6,1.912
Frijol,arcilloso,aspersion,74.5,110,95,0.42,0.22,0.65,8.46,10.677,37.51,799.67,0.838,0.3584,0.0,9,9352.7,2.282
Frijol,franco,gravedad,14.16,110,135,0.3,0.16,0.58,8.376,10.311,146.5,769.85,0.838,0.263,0.0,15,9750.93,1.874
Frijol,arcilloso,aspersion,76.72,110,31,0.42,0.22,0.67,6.423,9.325,19.99,617.95,0.838,0.3636,0.0,7,6974.16,2.192
Frijol,franco-arenoso,aspersion,18.88,110,85,0.24,0.12,0.48,8.289,9.651,8.18,787.92,0.838,0.1988,0.0,23,9992.85,1.947
Frijol,franco-arcilloso,gravedad,64.29,110,4,0.36,0.2,0.62,5.464,8.58,13.08,519.7,0.838,0.312,0.0,8,7163.48,1.935
Frijol,arcilloso,gravedad,42.01,110,106,0.42,0.22,0.63,8.544,10.715,53.07,802.07,0.838,0.3666,0.0,11,11677.75,1.891
Frijol,franco-arcilloso,gravedad,67.61,110,293,0.36,0.2,0.56,3.847,5.956,1.89,341.61,0.838,0.3141,0.0,6,4643.74,2.151
Frijol,franco-arcilloso,gravedad,37.45,110,87,0.36,0.2,0.5,8.425,10.515,55.02,799.02,0.838,0.3115,0.0,17,12322.96,1.982
Frijol,franco,aspersion,53.68,110,87,0.3,0.16,0.48,8.355,10.453,66.96,787.64,0.838,0.2508,0.0,16,8946.9,1.46
Frijol,franco,aspersion,54.82,110,7,0.3,0.16,0.51,5.469,8.383,14.45,524.98,0.838,0.255,0.0,11,6199.98,1.816
Frijol,arcilloso,microaspersion,47.05,110,161,0.42,0.22,0.61,7.941,10.4,139.02,724.61,0.838,0.3613,0.0,8,6401.75,2.054
Frijol,franco,gravedad,5.81,110,117,0.3,0.16,0.51,8.61,10.009,86.05,802.15,0.838,0.2523,0.0,16,11666.37,2.129
Frijol,franco-arcilloso,gravedad,22.37,110,354,0.36,0.2,0.6,4.968,7.218,19.94,473.68,0.838,0.3154,0.0,8,6888.53,1.884
Frijol,arcilloso,aspersion,13.67,110,44,0.42,0.22,0.64,7.021,9.945,3.01,672.24,0.838,0.3645,0.0,9,8059.51,1.815
Frijol,franco,aspersion,46.42,110,72,0.3,0.16,0.54,8.011,10.118,6.19,763.42,0.838,0.2546,0.0,17,9920.28,1.992
Frijol,arcilloso,microaspersion,30.66,110,256,0.42,0.22,0.53,4.537,7.002,14.03,394.71,0.838,0.3653,0.0,6,4322.21,1.967
Frijol,franco-arenoso,goteo,78.32,110,8,0.24,0.12,0.61,5.587,8.014,31.89,536.45,0.838,0.2055,0.0,13,5338.66,1.966
Frijol,arcilloso,gravedad,69.75,110,285,0.42,0.22,0.51,3.88,5.471,5.77,341.17,0.838,0.3652,0.0,6,5267.71,1.626
Frijol,franco-arcilloso,aspersion,50.17,110,249,0.36,0.2,0.7,4.734,7.957,40.74,412.32,0.838,0.3196,0.0,6,4826.16,2.175
Frijol,arcilloso,aspersion,49.1,110,96,0.42,0.22,0.56,8.467,10.056,130.68,799.26,0.838,0.3654,0.0,12,9430.47,2.01
Frijol,franco-arenoso,microaspersion,79.47,110,262,0.24,0.12,0.54,4.323,6.55,31.02,373.91,0.838,0.2111,0.0,11,3888.22,1.969
Frijol,franco,gravedad,73.85,110,140,0.3,0.16,0.59,8.32,10.054,185.73,765.94,0.838,0.2541,0.0,11,8561.07,1.758
Frijol,franco-arenoso,gravedad,47.37,110,118,0.24,0.12,0.7,8.607,10.192,100.41,801.81,0.838,0.2035,0.0,15,10823.91,2.433
Frijol,franco,gravedad,69.1,110,264,0.3,0.16,0.66,4.379,7.233,46.42,380.09,0.838,0.2674,0.0,7,5198.65,1.781
Frijol,franco-arcilloso,gravedad,15.53,110,139,0.36,0.2,0.59,8.476,10.068,131.41,783.91,0.838,0.3104,0.0,11,10282.7,1.229
Frijol,franco-arcilloso,goteo,46.37,110,42,0.36,0.2,0.5,6.886,9.746,30.19,663.39,0.838,0.3134,0.0,14,6872.69,2.098
Frijol,franco-arenoso,gravedad,34.08,110,54,0.24,0.12,0.52,7.377,10.499,19.79,701.75,0.838,0.1981,0.0,17,11068.23,1.943
Frijol,arcilloso,aspersion,77.24,110,150,0.42,0.22,0.52,8.281,10.298,180.45,754.53,0.838,0.3661,0.0,11,7545.19,1.956
Frijol,franco,aspersion,63.93,110,20,0.3,0.16,0.49,6.074,8.846,9.32,585.17,0.838,0.2603,0.0,16,7301.34,1.855
Frijol,franco-arcilloso,aspersion,45.77,110,333,0.36,0.2,0.49,4.305,7.492,11.33,404.36,0.838,0.3129,0.0,8,4841.69,2.12
Frijol,franco-arcilloso,gravedad,53.38,110,363,0.36,0.2,0.61,5.168,8.927,15.47,494.58,0.838,0.3141,0.0,8,7260.69,1.829
Frijol,franco-arcilloso,gravedad,19.25,110,162,0.36,0.2,0.58,7.968,10.606,142.89,723.92,0.838,0.3131,0.0,11,9171.47,2.147
Frijol,franco-arenoso,gravedad,63.37,110,14,0.24,0.12,0.52,5.899,8.974,5.06,567.11,0.838,0.203,0.0,15,8719.08,1.993
Frijol,arcilloso,gravedad,76.21,110,150,0.42,0.22,0.61,8.276,10.696,139.28,755.23,0.838,0.3655,0.0,9,9826.25,1.968
Frijol,franco,aspersion,5.94,110,62,0.3,0.16,0.47,7.587,9.752,22.57,727.11,0.838,0.2546,0.0,18,9128.68,1.923
Frijol,franco-arenoso,gravedad,67.31,110,48,0.24,0.12,0.55,7.153,10.542,13.61,684.6,0.838,0.2018,0.0,17,10446.62,2.057
Frijol,franco,gravedad,52.46,110,11,0.3,0.16,0.56,5.601,9.386,6.87,539.35,0.838,0.258,0.0,11,7961.23,1.868
Frijol,arcilloso,aspersion,42.58,110,206,0.42,0.22,0.45,6.403,9.701,145.55,564.77,0.838,0.3604,0.0,8,6008.27,1.9
Frijol,arcilloso,gravedad,9.28,110,140,0.42,0.22,0.64,8.448,10.579,80.09,780.1,0.838,0.3643,0.0,11,11254.45,2.009
Frijol,franco,gravedad,30.89,110,98,0.3,0.16,0.49,8.451,10.481,67.55,789.34,0.838,0.2575,0.0,19,11507.46,2.173
Frijol,franco-arcilloso,aspersion,22.34,110,67,0.36,0.2,0.53,7.817,10.061,18.35,744.7,0.838,0.3137,0.0,16,9334.86,1.933
Frijol,franco-arcilloso,gravedad,35.83,110,147,0.36,0.2,0.52,8.393,11.0,229.32,771.74,0.838,0.3172,0.0,12,8964.48,1.963
Frijol,franco-arcilloso,gravedad,11.95,110,167,0.36,0.2,0.5,7.823,10.037,296.69,709.33,0.838,0.3185,0.0,10,6785.28,1.985
Frijol,franco-arcilloso,gravedad,43.21,110,142,0.36,0.2,0.65,8.335,10.376,68.92,768.61,0.838,0.3179,0.0,14,11421.8,1.944
Frijol,franco-arcilloso,gravedad,76.28,110,225,0.36,0.2,0.52,5.469,8.79,122.8,480.26,0.838,0.3156,0.0,8,5444.25,1.67
Frijol,franco-arenoso,gravedad,15.88,110,338,0.24,0.12,0.53,4.358,7.464,12.78,410.39,0.838,0.2082,0.0,12,6172.95,1.864
Frijol,franco-arcilloso,aspersion,31.77,110,86,0.36,0.2,0.57,8.202,10.166,10.36,778.73,0.838,0.3078,0.0,14,10209.27,2.038
Frijol,arcilloso,gravedad,9.65,110,138,0.42,0.22,0.69,8.383,10.719,164.91,771.84,0.838,0.3727,0.0,9,10164.51,1.957
Frijol,franco,gravedad,42.1,110,184,0.3,0.16,0.67,7.296,10.162,121.26,654.92,0.838,0.2628,0.0,11,8319.57,1.922
Frijol,franco-arcilloso,aspersion,49.14,110,202,0.36,0.2,0.56,6.494,9.578,158.99,573.47,0.838,0.3162,0.0,8,5209.44,1.995
Frijol,franco-arcilloso,aspersion,30.62,110,298,0.36,0.2,0.56,3.837,5.506,31.93,343.18,0.838,0.3114,0.0,5,3654.21,2.025
Frijol,franco,gravedad,72.01,110,196,0.3,0.16,0.54,6.715,9.293,93.81,600.99,0.838,0.2637,0.0,13,8303.71,2.144
Frijol,franco-arcilloso,gravedad,20.47,110,287,0.36,0.2,0.51,3.88,5.839,6.56,347.63,0.838,0.3155,0.0,7,4866.87,1.855
Frijol,franco,aspersion,62.34,110,209,0.3,0.16,0.61,6.202,8.788,139.89,551.18,0.838,0.2552,0.0,8,5277.18,2.346
Frijol,arcilloso,gravedad,51.35,110,185,0.42,0.22,0.69,7.173,9.799,227.03,639.13,0.838,0.3717,0.0,5,5971.29,1.686
Frijol,arcilloso,aspersion,73.68,110,213,0.42,0.22,0.5,6.061,9.163,105.54,534.38,0.838,0.3719,0.0,8,5757.35,1.752
Frijol,arcilloso,gravedad,71.71,110,43,0.42,0.22,0.55,6.953,10.403,13.02,666.11,0.838,0.3674,0.0,11,9723.61,1.753
Frijol,franco,aspersion,19.67,110,269,0.3,0.16,0.58,4.224,7.189,47.08,370.6,0.838,0.2595,0.0,7,4481.68,1.699
Frijol,arcilloso,aspersion,42.33,110,188,0.42,0.22,0.51,7.044,9.82,139.9,627.63,0.838,0.3723,0.0,10,6544.9,2.12
Frijol,franco-arenoso,gravedad,15.48,110,36,0.24,0.12,0.5,6.591,10.192,21.96,633.26,0.838,0.2021,0.0,18,9610.62,1.787
Frijol,arcilloso,aspersion,71.46,110,272,0.42,0.22,0.47,4.158,6.918,11.37,365.77,0.838,0.3704,0.0,7,4501.2,2.296
Frijol,arcilloso,goteo,11.32,110,10,0.42,0.22,0.48,5.66,9.002,13.19,542.2,0.838,0.3675,0.0,11,5862.33,2.423
Frijol,franco-arcilloso,gravedad,15.58,110,253,0.36,0.2,0.63,4.692,7.765,51.62,410.92,0.838,0.3196,0.0,6,5141.81,1.957
Frijol,franco-arcilloso,aspersion,53.37,110,7,0.36,0.2,0.68,5.491,8.35,0.0,529.56,0.838,0.315,0.0,8,6078.25,1.824
Frijol,franco,gravedad,7.59,110,316,0.3,0.16,0.65,3.982,6.338,21.95,366.15,0.838,0.2589,0.0,6,5050.62,1.957
Frijol,franco-arcilloso,goteo,5.96,110,323,0.36,0.2,0.53,4.116,6.343,3.47,379.48,0.838,0.3202,0.0,9,4095.75,2.018
Frijol,franco,gravedad,43.05,110,121,0.3,0.16,0.58,8.612,10.509,134.46,799.01,0.838,0.257,0.0,14,11280.26,1.857
Frijol,arcilloso,gravedad,10.71,110,220,0.42,0.22,0.45,5.773,8.58,95.47,507.8,0.838,0.3628,0.0,8,6565.6,1.853
Frijol,franco-arcilloso,goteo,61.18,110,81,0.36,0.2,0.58,8.155,10.187,72.07,776.73,0.838,0.311,0.0,13,7464.2,2.0
Frijol,franco,goteo,40.99,110,83,0.3,0.16,0.63,8.235,10.567,48.12,780.14,0.838,0.2608,0.0,16,7767.34,2.209
Frijol,franco-arcilloso,gravedad,30.98,110,101,0.36,0.2,0.54,8.562,10.206,46.01,801.17,0.838,0.3141,0.0,17,12064.6,2.054
Frijol,franco,goteo,49.42,110,277,0.3,0.16,0.67,4.152,6.442,9.86,361.84,0.838,0.2597,0.0,6,3363.79,2.0
Frijol,franco-arcilloso,gravedad,41.95,110,130,0.36,0.2,0.54,8.519,10.714,155.1,790.21,0.838,0.3087,0.0,12,9706.57,2.001
Frijol,franco-arcilloso,aspersion,45.76,110,344,0.36,0.2,0.69,4.528,7.08,0.45,431.22,0.838,0.3151,0.0,7,5312.48,1.931
Frijol,franco-arcilloso,gravedad,8.04,110,171,0.36,0.2,0.64,7.582,10.105,160.77,680.17,0.838,0.3107,0.0,8,8671.94,1.836
Frijol,arcilloso,gravedad,59.53,110,207,0.42,0.22,0.47,6.213,9.456,110.02,551.36,0.838,0.3733,0.0,9,6858.12,1.48
Frijol,franco-arcilloso,aspersion,74.02,110,68,0.36,0.2,0.54,7.719,9.859,34.78,735.17,0.838,0.3091,0.0,13,9109.96,1.982
Frijol,franco-arcilloso,aspersion,44.62,110,40,0.36,0.2,0.59,6.828,9.846,28.21,652.93,0.838,0.3164,0.0,13,8266.45,2.338
Frijol,franco-arcilloso,gravedad,48.5,110,291,0.36,0.2,0.48,3.895,5.694,16.42,346.83,0.838,0.3135,0.0,8,5442.38,1.871
Frijol,franco-arcilloso,gravedad,59.79,110,298,0.36,0.2,0.65,3.893,6.118,5.19,347.16,0.838,0.3206,0.0,7,5244.67,2.049
Frijol,arcilloso,gravedad,49.94,110,154,0.42,0.22,0.66,8.152,10.435,111.28,746.59,0.838,0.3665,0.0,9,10297.19,2.117
Frijol,franco-arcilloso,gravedad,30.23,110,343,0.36,0.2,0.52,4.635,7.441,19.24,435.09,0.838,0.3205,0.0,10,6534.0,1.727
Frijol,franco,aspersion,64.37,110,101,0.3,0.16,0.58,8.529,10.47,44.22,803.85,0.838,0.2584,0.0,17,9628.73,1.949
Frijol,arcilloso,gravedad,36.91,110,62,0.42,0.22,0.69,7.603,10.324,20.7,723.62,0.838,0.3677,0.0,10,11091.19,2.074
Frijol,franco-arcilloso,gravedad,9.19,110,160,0.36,0.2,0.55,8.006,10.992,195.0,726.43,0.838,0.3169,0.0,11,8948.18,1.911
Frijol,arcilloso,gravedad,13.66,110,129,0.42,0.22,0.49,8.568,10.228,156.35,795.51,0.838,0.3636,0.0,12,10223.37,2.221
Frijol,franco-arcilloso,gravedad,7.55,110,207,0.36,0.2,0.69,6.269,9.176,97.06,554.28,0.838,0.3205,0.0,8,6894.12,1.964
Frijol,franco-arcilloso,gravedad,17.9,110,155,0.36,0.2,0.59,8.031,10.463,198.8,733.26,0.838,0.3182,0.0,12,9241.7,2.312
Frijol,franco-arcilloso,aspersion,11.2,110,154,0.36,0.2,0.53,8.166,10.626,134.46,746.28,0.838,0.314,0.0,12,7989.38,2.17
Frijol,arcilloso,aspersion,11.65,110,135,0.42,0.22,0.62,8.511,10.352,82.24,783.6,0.838,0.3637,0.0,11,9092.68,2.018
Frijol,franco-arcilloso,gravedad,63.25,110,57,0.36,0.2,0.56,7.551,9.8,2.92,722.76,0.838,0.3151,0.0,15,10856.38,2.111
Frijol,franco,gravedad,25.9,110,128,0.3,0.16,0.59,8.607,10.427,99.65,801.01,0.838,0.2563,0.0,15,11432.25,1.922
Frijol,franco-arenoso,gravedad,40.53,110,42,0.24,0.12,0.47,6.83,9.525,14.26,656.31,0.838,0.1991,0.0,18,9903.66,1.949
Frijol,franco-arcilloso,gravedad,19.12,110,108,0.36,0.2,0.46,8.611,9.932,72.99,806.52,0.838,0.3075,0.0,17,12135.86,1.926
Frijol,franco-arcilloso,gravedad,56.3,110,49,0.36,0.2,0.51,7.225,9.892,6.31,691.58,0.838,0.308,0.0,14,10668.8,2.364
Frijol,franco-arcilloso,aspersion,32.97,110,112,0.36,0.2,0.54,8.711,10.327,82.81,814.09,0.838,0.3116,0.0,15,9924.64,1.795
Frijol,arcilloso,gravedad,24.16,110,278,0.42,0.22,0.57,4.088,5.89,4.48,358.28,0.838,0.3629,0.0,5,4978.31,2.175
Frijol,arcilloso,aspersion,31.48,110,179,0.42,0.22,0.58,7.391,10.121,181.01,662.99,0.838,0.3627,0.0,7,6174.07,1.82
Frijol,arcilloso,goteo,76.62,110,87,0.42,0.22,0.46,8.323,9.945,51.91,787.31,0.838,0.3604,0.0,14,7693.17,1.898
Frijol,arcilloso,gravedad,66.63,110,118,0.42,0.22,0.68,8.641,10.033,121.44,806.28,0.838,0.3621,0.0,9,11171.77,1.936
Frijol,franco,gravedad,6.04,110,317,0.3,0.16,0.48,3.924,6.229,14.97,357.92,0.838,0.2591,0.0,9,5520.28,1.652
Frijol,arcilloso,gravedad,60.31,110,75,0.42,0.22,0.7,8.024,10.486,24.92,761.75,0.838,0.3625,0.0,9,11672.76,2.1
Frijol,arcilloso,aspersion,36.04,110,98,0.42,0.22,0.66,8.517,10.321,59.53,802.58,0.838,0.3634,0.0,10,9706.98,1.909
Frijol,franco-arcilloso,gravedad,39.88,110,283,0.36,0.2,0.6,3.964,6.015,10.3,350.85,0.838,0.3225,0.0,7,5066.09,1.949
Frijol,franco,gravedad,62.4,110,329,0.3,0.16,0.54,4.173,6.519,16.04,388.37,0.838,0.2607,0.0,8,5580.82,2.172
Frijol,franco-arcilloso,aspersion,12.0,110,74,0.36,0.2,0.52,7.927,10.123,6.65,754.67,0.838,0.3082,0.0,15,9887.72,1.791
Frijol,arcilloso,gravedad,59.63,110,233,0.42,0.22,0.48,5.283,8.217,94.64,463.81,0.838,0.3633,0.0,6,5046.66,2.204
Frijol,franco-arcilloso,gravedad,9.94,110,206,0.36,0.2,0.57,6.331,9.329,137.08,558.35,0.838,0.3173,0.0,8,6499.1,1.92
Frijol,arcilloso,gravedad,45.83,110,205,0.42,0.22,0.52,6.357,9.326,106.66,564.01,0.838,0.362,0.0,7,6425.24,1.991
Frijol,arcilloso,gravedad,75.64,110,28,0.42,0.22,0.54,6.412,9.458,12.46,614.79,0.838,0.3662,0.0,10,9197.16,1.972
Frijol,arcilloso,aspersion,35.32,110,66,0.42,0.22,0.6,7.696,10.433,24.4,736.69,0.838,0.3618,0.0,10,9529.94,2.225
Frijol,franco,gravedad,49.22,110,207,0.3,0.16,0.68,6.268,9.398,163.73,551.75,0.838,0.2666,0.0,8,6089.23,2.053
Frijol,arcilloso,gravedad,13.15,110,61,0.42,0.22,0.49,7.604,10.373,39.45,723.87,0.838,0.3572,0.0,11,10468.53,2.0
Frijol,franco-arenoso,aspersion,52.21,110,84,0.24,0.12,0.63,8.216,10.054,15.85,780.95,0.838,0.2025,0.0,18,9890.09,1.911
Frijol,franco-arenoso,gravedad,48.04,110,342,0.24,0.12,0.64,4.421,7.296,17.91,418.58,0.838,0.2079,0.0,10,6418.5,2.02
Frijol,franco-arcilloso,gravedad,69.77,110,191,0.36,0.2,0.52,6.976,9.983,189.78,623.4,0.838,0.3206,0.0,10,6849.42,1.813
Frijol,franco-arcilloso,aspersion,78.95,110,74,0.36,0.2,0.57,8.007,10.058,5.96,758.38,0.838,0.3078,0.0,13,9134.02,1.576
Frijol,arcilloso,aspersion,49.22,110,322,0.42,0.22,0.48,4.189,6.581,18.02,388.27,0.838,0.3695,0.0,7,4586.67,1.825
Frijol,franco,gravedad,21.79,110,130,0.3,0.16,0.54,8.6,10.233,110.5,795.6,0.838,0.2599,0.0,17,10778.63,1.752
Algodón,arcilloso,gravedad,41.08,180,53,0.42,0.22,0.67,7.833,10.12,153.73,1302.02,0.879,0.3713,0.0,18,18928.93,3.733
Algodón,arcilloso,gravedad,34.38,180,132,0.42,0.22,0.46,7.386,10.561,202.37,1130.65,0.879,0.3587,0.0,18,14684.66,3.153
Algodón,franco,gravedad,31.94,180,242,0.3,0.16,0.54,4.632,7.925,61.72,674.05,0.879,0.2552,0.0,13,9163.88,3.267
Algodón,franco,gravedad,7.78,180,165,0.3,0.16,0.47,6.474,10.302,171.95,952.32,0.879,0.2614,0.0,23,12858.38,3.548
Algodón,franco,aspersion,29.48,180,214,0.3,0.16,0.65,5.031,9.167,63.48,713.78,0.879,0.2561,0.0,12,8636.32,3.54
Algodón,franco,gravedad,19.17,180,16,0.3,0.16,0.51,7.028,10.321,38.7,1194.61,0.879,0.2557,0.0,28,18397.21,3.597
Algodón,franco-arcilloso,gravedad,31.84,180,141,0.36,0.2,0.7,7.205,10.382,169.28,1090.87,0.879,0.3139,0.0,15,13984.61,3.493
Algodón,franco-arcilloso,gravedad,52.34,180,6,0.36,0.2,0.53,6.768,10.172,16.5,1151.72,0.879,0.3137,0.0,25,18141.73,3.935
Algodón,franco,goteo,73.98,180,257,0.3,0.16,0.54,4.426,7.228,65.08,657.57,0.879,0.2577,0.0,13,6575.18,2.958
Algodón,franco,gravedad,61.07,180,14,0.3,0.16,0.64,6.961,10.803,61.17,1184.55,0.879,0.2594,0.0,23,17547.26,2.97
Algodón,franco-arcilloso,microaspersion,71.25,180,99,0.36,0.2,0.63,7.962,10.568,215.4,1269.54,0.879,0.316,0.0,20,12088.27,3.099
Algodón,franco,gravedad,22.65,180,148,0.3,0.16,0.68,7.025,10.353,134.03,1055.39,0.879,0.2603,0.0,18,15157.89,3.668
Algodón,franco-arenoso,aspersion,36.61,180,180,0.24,0.12,0.67,5.982,10.041,198.2,869.27,0.879,0.2072,0.0,15,8665.56,3.143
Algodón,franco-arcilloso,gravedad,8.13,180,301,0.36,0.2,0.61,4.915,8.638,11.58,798.47,0.879,0.3134,0.0,14,12331.95,3.316
Algodón,arcilloso,goteo,51.02,180,34,0.42,0.22,0.65,7.465,10.356,65.24,1255.37,0.879,0.3596,0.0,15,12426.65,3.717
Algodón,franco,gravedad,57.24,180,65,0.3,0.16,0.48,8.003,10.636,113.1,1317.5,0.879,0.2593,0.0,36,19418.48,3.979
Algodón,franco-arcilloso,goteo,77.68,180,178,0.36,0.2,0.66,6.067,10.219,247.24,885.34,0.879,0.314,0.0,10,6691.76,3.914
Algodón,arcilloso,gravedad,6.75,180,308,0.42,0.22,0.5,4.839,8.585,38.81,790.04,0.879,0.3602,0.0,12,11718.19,3.255
Algodón,franco-arcilloso,gravedad,53.04,180,244,0.36,0.2,0.65,4.596,7.58,64.11,667.8,0.879,0.3215,0.0,11,8869.7,3.868
Algodón,franco-arcilloso,aspersion,46.05,180,160,0.36,0.2,0.68,6.621,10.027,237.48,982.63,0.879,0.3164,0.0,12,9438.58,3.65
Algodón,franco-arcilloso,gravedad,15.79,180,100,0.36,0.2,0.62,7.893,10.736,99.21,1258.72,0.879,0.3163,0.0,23,18338.5,3.705
Algodón,arcilloso,gravedad,67.33,180,179,0.42,0.22,0.52,6.111,9.685,253.1,892.07,0.879,0.3733,0.0,14,11209.06,3.916
Algodón,franco-arcilloso,aspersion,40.64,180,147,0.36,0.2,0.62,6.999,10.427,172.27,1055.67,0.879,0.3088,0.0,14,11277.17,3.249
Algodón,franco,gravedad,23.8,180,34,0.3,0.16,0.49,7.39,9.843,127.67,1247.55,0.879,0.2533,0.0,27,18130.99,3.272
Algodón,franco,gravedad,25.54,180,317,0.3,0.16,0.6,5.128,9.805,19.55,847.83,0.879,0.2623,0.0,19,13120.28,3.245
Algodón,franco-arcilloso,gravedad,58.26,180,148,0.36,0.2,0.63,6.992,10.234,164.14,1049.46,0.879,0.3178,0.0,18,14431.03,2.983
Algodón,arcilloso,gravedad,39.98,180,43,0.42,0.22,0.47,7.562,10.612,113.07,1268.56,0.879,0.3572,0.0,20,18475.26,3.259
Algodón,franco-arcilloso,gravedad,11.77,180,136,0.36,0.2,0.55,7.36,10.138,264.47,1125.58,0.879,0.3138,0.0,19,14292.06,3.64
Algodón,arcilloso,microaspersion,53.8,180,104,0.42,0.22,0.52,7.825,10.224,207.45,1240.76,0.879,0.36,0.0,17,12257.02,3.604
Algodón,franco-arcilloso,aspersion,58.23,180,98,0.36,0.2,0.7,8.021,10.592,201.66,1278.34,0.879,0.311,0.0,17,14432.05,3.003
Algodón,franco,gravedad,12.64,180,18,0.3,0.16,0.5,7.041,10.27,51.51,1190.22,0.879,0.2523,0.0,26,17274.61,3.792
Algodón,franco-arcilloso,aspersion,57.91,180,116,0.36,0.2,0.59,7.756,10.162,197.86,1210.92,0.879,0.3108,0.0,18,13316.43,3.446
Algodón,franco-arcilloso,aspersion,69.63,180,357,0.36,0.2,0.68,6.276,10.429,11.55,1066.13,0.879,0.3178,0.0,19,13900.14,2.754
Algodón,franco,gravedad,15.83,180,240,0.3,0.16,0.57,4.654,8.124,50.03,676.96,0.879,0.2647,0.0,16,9667.59,3.188
Algodón,franco-arenoso,gravedad,23.36,180,279,0.24,0.12,0.61,4.488,7.643,35.37,697.35,0.879,0.2076,0.0,18,10651.82,3.613
Algodón,franco,gravedad,76.5,180,31,0.3,0.16,0.49,7.336,10.124,60.11,1237.96,0.879,0.2549,0.0,30,18995.65,3.684
Algodón,franco-arcilloso,gravedad,49.15,180,105,0.36,0.2,0.48,7.855,10.165,137.3,1240.64,0.879,0.3092,0.0,24,18012.29,3.266
Algodón,franco-arcilloso,gravedad,73.75,180,207,0.36,0.2,0.68,5.241,10.118,181.43,746.72,0.879,0.3217,0.0,10,9075.75,2.922
